property_type,inspections_opendate,inspections_closeddate,date_num,violation
Nursing Home,2020-12-14,2024-07-05,685,1
Rooming House,2022-08-31,2024-11-17,1236,0
Group Home,2020-07-22,2024-03-19,688,1
Residential Care,2023-10-11,2024-11-03,296,1
Residential Care,2023-10-21,2024-11-20,1649,0
Group Home,2024-01-11,2024-06-19,395,1
Detention,2023-10-16,2024-07-02,755,1
Hotel & Motel,2022-07-16,2024-11-11,26,1
Group Home,2020-10-15,2024-02-01,37,1
Nursing Home,2022-11-20,2024-04-29,341,0
Nursing Home,2024-05-20,2024-06-05,59,0
Group Home (VO),2024-02-13,2024-03-30,690,1
Group Home (VO),2024-10-09,2024-01-12,790,0
Nursing Home,2020-07-31,2024-08-18,429,1
Hospital,2023-11-23,2024-04-22,1005,0
Group Home,2024-03-28,2024-10-18,1124,1
Detention,2020-07-03,2024-05-29,466,1
Rooming House,2020-07-26,2024-05-02,792,1
Hotel & Motel,2021-12-02,2024-10-19,1248,0
Group Home (VO),2024-05-15,2024-06-27,544,1
Nursing Home,2020-07-26,2024-10-06,708,1
Residential Care,2021-07-04,2024-11-26,961,0
Rooming House,2023-12-09,2024-02-01,1117,1
Detention,2019-09-21,2024-10-27,669,0
Rooming House,2022-10-01,2024-01-08,205,0
Nursing Home,2023-04-23,2024-11-06,1313,0
Detention,2023-04-18,2024-08-30,1588,1
Low Rise,2023-01-28,2024-05-30,527,0
Rooming House,2024-05-19,2024-04-30,1249,1
Nursing Home,2023-06-19,2024-01-22,988,0
Rooming House,2020-04-28,2024-06-16,274,1
Hotel & Motel,2023-01-09,2024-06-10,735,1
Hotel & Motel,2021-01-22,2024-04-09,1325,0
Hospital,2021-10-12,2024-02-20,835,0
High Rise,2020-10-14,2024-02-08,1386,0
Group Home,2023-09-15,2024-09-11,1001,1
High Rise,2022-01-25,2024-03-24,537,0
Group Home (VO),2022-03-11,2024-01-06,1031,0
Rooming House,2023-07-14,2024-09-05,1566,1
Rooming House,2023-05-15,2024-05-26,351,1
Low Rise,2020-09-13,2024-11-02,1143,0
Hotel & Motel,2024-11-08,2024-08-10,1143,1
Nursing Home,2020-05-26,2024-03-14,916,1
Detention,2021-02-28,2024-11-01,849,0
Low Rise,2021-01-16,2024-03-18,270,0
Hospital,2022-08-20,2024-03-14,991,1
Detention,2021-08-19,2024-08-23,537,1
Residential Care,2024-08-12,2024-07-19,298,0
Hotel & Motel,2021-07-27,2024-09-06,1554,0
Residential Care,2022-03-07,2024-11-08,1440,1
Hospital,2021-04-01,2024-06-01,1583,1
Nursing Home,2021-06-10,2024-08-12,85,1
Residential Care,2020-05-05,2024-03-25,489,1
Group Home (VO),2023-01-19,2024-11-05,1290,1
Hotel & Motel,2022-08-20,2024-05-06,743,0
Residential Care,2021-12-14,2024-08-31,221,1
Low Rise,2020-05-30,2024-10-07,1064,1
Nursing Home,2023-01-05,2024-08-28,895,1
Residential Care,2024-07-12,2024-08-03,1468,0
Nursing Home,2019-10-23,2024-01-17,569,1
Group Home,2020-12-20,2024-07-08,362,1
Hotel & Motel,2020-05-13,2024-09-27,902,0
Nursing Home,2020-03-30,2024-05-26,296,1
Low Rise,2022-09-20,2024-02-26,256,0
Hospital,2020-05-14,2024-04-18,872,0
High Rise,2020-06-09,2024-04-17,844,1
Rooming House,2020-11-05,2024-11-02,558,0
Hospital,2023-08-13,2024-11-09,1635,0
Group Home (VO),2022-07-09,2024-07-18,1674,0
Rooming House,2024-02-24,2024-01-23,726,0
Residential Care,2023-05-13,2024-02-21,1163,0
Low Rise,2023-01-11,2024-01-13,338,0
Detention,2023-12-29,2024-09-06,369,0
Detention,2024-11-11,2024-03-20,1109,1
Low Rise,2021-07-19,2024-04-10,1610,0
Rooming House,2021-11-27,2024-09-30,791,0
Nursing Home,2021-04-22,2024-03-22,1447,0
Nursing Home,2019-10-18,2024-09-20,1227,0
Low Rise,2019-10-15,2024-06-08,611,0
Hospital,2020-03-07,2024-06-05,280,1
Hotel & Motel,2024-01-12,2024-09-12,691,1
High Rise,2023-05-05,2024-06-06,1618,1
Hotel & Motel,2024-08-16,2024-04-08,1058,0
Nursing Home,2024-10-19,2024-07-06,712,0
Hospital,2021-06-15,2024-07-21,718,0
Rooming House,2021-03-30,2024-04-22,1509,0
High Rise,2021-02-27,2024-07-17,470,1
Hotel & Motel,2021-03-28,2024-07-29,273,1
Hotel & Motel,2021-11-12,2024-11-01,20,0
Detention,2020-10-19,2024-03-23,1364,0
High Rise,2020-06-04,2024-05-19,778,0
Nursing Home,2023-02-04,2024-02-13,846,1
Rooming House,2023-12-04,2024-08-27,228,0
High Rise,2023-02-12,2024-03-01,382,0
High Rise,2022-12-29,2024-09-23,936,1
Low Rise,2021-01-19,2024-04-24,1311,0
Low Rise,2024-07-23,2024-06-25,563,0
Group Home,2022-04-22,2024-09-17,1127,1
Rooming House,2024-06-18,2024-11-09,1499,0
Rooming House,2023-12-31,2024-08-05,346,0
Group Home (VO),2020-09-16,2024-07-23,258,1
Residential Care,2022-08-17,2024-10-11,1364,1
Detention,2023-07-31,2024-04-01,508,1
Hotel & Motel,2020-07-17,2024-03-13,1499,0
Hotel & Motel,2023-06-17,2024-03-21,214,1
Low Rise,2024-03-17,2024-03-26,652,1
Low Rise,2022-01-24,2024-05-07,860,1
Group Home (VO),2020-04-05,2024-07-09,126,1
Nursing Home,2024-04-13,2024-04-18,850,1
Group Home,2020-09-21,2024-11-09,174,1
Group Home,2023-09-27,2024-06-03,804,0
Hotel & Motel,2021-05-19,2024-05-01,1394,1
Rooming House,2021-12-27,2024-07-07,1501,0
Group Home (VO),2020-11-01,2024-06-26,651,0
Low Rise,2019-07-11,2024-09-07,1038,1
Low Rise,2023-10-19,2024-06-14,931,1
Detention,2023-06-25,2024-07-12,897,0
Hospital,2023-10-12,2024-07-07,1313,0
Low Rise,2021-05-23,2024-07-05,228,0
Rooming House,2024-05-14,2024-10-14,1510,0
Residential Care,2019-08-27,2024-01-26,552,1
Detention,2020-08-13,2024-09-07,991,0
Hospital,2024-06-20,2024-08-25,742,0
Detention,2022-06-10,2024-08-21,1083,1
Nursing Home,2020-04-30,2024-03-23,1453,1
High Rise,2020-03-11,2024-03-01,183,0
Low Rise,2022-07-15,2024-08-03,1347,1
Group Home (VO),2019-12-30,2024-05-29,142,1
Group Home (VO),2023-06-18,2024-10-27,1397,1
Group Home,2024-06-03,2024-03-31,217,0
Hotel & Motel,2020-10-06,2024-09-25,198,1
Detention,2022-06-04,2024-10-24,309,0
Rooming House,2023-11-09,2024-01-19,972,1
Hotel & Motel,2022-05-16,2024-07-20,103,0
Rooming House,2021-03-17,2024-06-06,1279,0
Hotel & Motel,2023-09-24,2024-08-23,359,1
Low Rise,2020-11-23,2024-06-27,827,1
Low Rise,2021-12-06,2024-01-29,840,1
Low Rise,2024-11-10,2024-11-16,34,1
Detention,2021-05-29,2024-04-27,1133,0
Nursing Home,2021-11-27,2024-06-07,1227,0
Residential Care,2019-12-25,2024-05-21,502,1
High Rise,2024-02-12,2024-07-15,307,1
Hotel & Motel,2020-09-07,2024-05-27,786,0
Nursing Home,2022-08-12,2024-05-14,346,1
High Rise,2021-07-31,2024-01-30,789,1
Residential Care,2023-06-26,2024-05-31,208,1
Detention,2021-12-24,2024-03-12,811,1
Residential Care,2023-10-25,2024-07-25,1358,1
Low Rise,2023-11-06,2024-11-01,434,0
Group Home,2022-11-05,2024-07-23,747,1
Nursing Home,2024-05-21,2024-03-23,1149,1
Group Home,2021-11-23,2024-10-16,185,1
Low Rise,2023-04-08,2024-10-06,44,1
Hospital,2020-01-25,2024-10-12,153,0
Detention,2023-03-02,2024-06-08,351,1
Hotel & Motel,2020-03-26,2024-03-23,715,0
Detention,2020-05-23,2024-06-13,1669,1
Hotel & Motel,2019-12-11,2024-01-22,764,0
Hotel & Motel,2022-02-06,2024-10-10,38,0
Hotel & Motel,2019-09-15,2024-06-04,1499,0
Hotel & Motel,2021-03-16,2024-11-24,420,0
Nursing Home,2024-08-08,2024-01-31,1123,0
Nursing Home,2024-08-14,2024-11-13,93,1
High Rise,2021-10-23,2024-01-15,1041,1
Group Home (VO),2024-01-10,2024-07-02,1453,0
Residential Care,2019-07-25,2024-08-14,680,0
High Rise,2023-04-30,2024-02-15,853,0
Hospital,2024-05-25,2024-08-05,728,1
Residential Care,2024-02-28,2024-05-18,368,0
Rooming House,2023-09-10,2024-08-09,1242,0
Rooming House,2021-11-16,2024-06-28,1201,0
Nursing Home,2024-08-17,2024-01-20,1584,1
Nursing Home,2020-08-25,2024-02-21,1550,1
Hotel & Motel,2023-10-01,2024-03-24,831,0
Hotel & Motel,2024-01-17,2024-09-25,96,0
High Rise,2020-01-12,2024-03-28,1557,1
Rooming House,2024-01-16,2024-09-14,1536,0
Residential Care,2020-10-16,2024-02-16,1190,1
Nursing Home,2022-05-23,2024-07-18,1427,0
Detention,2020-10-08,2024-04-22,380,1
Nursing Home,2021-04-20,2024-06-24,516,0
Hospital,2022-10-23,2024-04-20,410,1
High Rise,2020-03-01,2024-11-14,1086,1
Group Home,2023-10-19,2024-05-09,1497,0
Detention,2019-11-13,2024-08-15,161,1
Group Home (VO),2020-04-12,2024-08-28,1164,0
Hotel & Motel,2024-04-12,2024-07-10,1142,1
Low Rise,2023-06-09,2024-10-23,667,0
Nursing Home,2022-11-20,2024-11-16,1068,1
Nursing Home,2020-01-05,2024-07-30,1485,1
Group Home,2022-02-24,2024-10-17,1287,1
Nursing Home,2021-07-25,2024-05-12,1665,0
Rooming House,2024-05-14,2024-07-07,632,1
Hospital,2024-06-15,2024-07-12,24,1
Low Rise,2019-11-19,2024-03-23,47,1
High Rise,2020-06-27,2024-08-28,527,0
Residential Care,2024-06-22,2024-02-25,1466,1
Detention,2021-09-10,2024-05-27,601,0
Group Home (VO),2022-05-10,2024-03-07,1568,1
Group Home (VO),2021-04-07,2024-06-12,1127,1
Residential Care,2019-08-16,2024-03-07,367,1
Group Home,2023-06-01,2024-11-18,1021,1
Rooming House,2023-10-07,2024-07-04,589,0
Detention,2020-07-31,2024-07-14,1321,0
Detention,2024-04-11,2024-02-19,710,1
Hospital,2021-06-25,2024-10-12,1022,0
Rooming House,2022-06-07,2024-07-27,174,1
Group Home,2021-05-26,2024-05-15,325,1
Hotel & Motel,2023-06-05,2024-05-17,85,1
Residential Care,2020-05-29,2024-03-30,820,0
Detention,2023-06-14,2024-05-01,19,0
Hospital,2022-08-03,2024-02-23,312,1
Group Home (VO),2022-05-28,2024-10-05,1393,1
Residential Care,2024-10-31,2024-02-17,484,1
Group Home,2019-09-02,2024-05-19,1314,1
Detention,2020-09-09,2024-06-29,198,0
Hotel & Motel,2020-05-09,2024-08-12,852,1
Group Home,2023-08-03,2024-01-11,694,1
Group Home (VO),2019-10-08,2024-10-20,327,1
Nursing Home,2023-05-08,2024-01-15,914,1
Hotel & Motel,2020-08-22,2024-01-06,865,1
Nursing Home,2021-04-10,2024-03-13,837,1
Hospital,2022-04-13,2024-05-09,362,1
Nursing Home,2020-12-24,2024-09-23,87,1
Hotel & Motel,2022-04-27,2024-02-01,1015,1
High Rise,2022-06-08,2024-07-08,36,0
Hospital,2022-01-17,2024-04-13,430,1
Rooming House,2022-07-22,2024-06-17,305,1
Hospital,2019-10-06,2024-06-24,251,1
Rooming House,2024-05-29,2024-07-11,1609,0
Group Home,2021-04-22,2024-10-03,1549,1
Residential Care,2024-03-28,2024-07-11,301,1
Residential Care,2021-12-28,2024-08-24,283,1
Rooming House,2020-08-17,2024-05-24,1053,0
Group Home,2022-01-15,2024-03-13,222,0
Group Home (VO),2024-09-12,2024-10-20,742,0
Residential Care,2021-11-05,2024-02-24,1161,0
Detention,2024-09-02,2024-05-25,1198,1
Detention,2021-04-11,2024-08-22,875,1
Low Rise,2020-01-13,2024-06-23,837,0
Hotel & Motel,2020-03-16,2024-02-16,1304,1
High Rise,2022-07-10,2024-01-15,1635,1
Detention,2022-11-17,2024-01-08,1148,0
Hotel & Motel,2020-06-13,2024-06-28,1023,0
Low Rise,2021-10-11,2024-02-17,163,1
Residential Care,2023-07-31,2024-03-31,152,0
Group Home (VO),2020-02-24,2024-02-20,905,1
High Rise,2023-09-21,2024-09-01,468,1
Rooming House,2019-10-20,2024-04-17,1505,0
Residential Care,2019-10-26,2024-10-08,60,0
Residential Care,2022-12-21,2024-11-27,1102,1
Hotel & Motel,2020-09-16,2024-05-28,338,1
Low Rise,2021-06-04,2024-03-23,1028,0
Nursing Home,2023-08-18,2024-10-21,1054,1
Hotel & Motel,2023-01-04,2024-10-04,236,0
Hospital,2023-03-17,2024-06-14,115,1
Hotel & Motel,2021-12-30,2024-05-20,937,1
Rooming House,2023-03-10,2024-05-10,824,0
Low Rise,2021-12-03,2024-05-02,130,0
Low Rise,2020-03-13,2024-08-03,1514,1
Group Home (VO),2023-10-26,2024-06-29,902,1
Hotel & Motel,2023-12-21,2024-03-01,1669,0
Rooming House,2023-12-27,2024-11-26,691,0
Residential Care,2020-06-21,2024-05-25,608,1
Hotel & Motel,2024-02-15,2024-07-23,355,1
Hospital,2020-07-31,2024-04-28,1663,1
Group Home,2022-12-23,2024-08-20,1391,1
Detention,2020-11-02,2024-02-18,1622,1
Detention,2023-12-27,2024-03-31,1663,0
Rooming House,2022-03-18,2024-10-27,1280,0
Low Rise,2021-06-28,2024-04-15,253,0
Detention,2023-09-03,2024-01-12,145,1
High Rise,2019-08-08,2024-03-05,20,1
High Rise,2021-09-10,2024-01-25,904,0
High Rise,2021-11-15,2024-06-18,90,1
Group Home,2020-12-20,2024-01-06,163,0
Detention,2023-02-25,2024-01-02,966,0
Low Rise,2021-07-21,2024-01-11,1646,0
Hotel & Motel,2019-08-28,2024-11-15,1182,0
Low Rise,2022-04-29,2024-10-20,1607,1
Low Rise,2021-03-14,2024-09-11,265,1
Hotel & Motel,2020-04-03,2024-04-17,1040,1
Rooming House,2020-07-12,2024-03-11,354,0
Group Home,2021-04-26,2024-05-19,1280,1
Group Home,2020-05-12,2024-02-03,1206,0
Nursing Home,2021-02-25,2024-11-28,241,1
Residential Care,2022-10-16,2024-10-26,809,0
Detention,2020-06-06,2024-07-13,1621,1
Residential Care,2019-10-24,2024-07-11,527,1
Detention,2021-11-27,2024-05-28,172,1
Hospital,2024-06-16,2024-10-01,834,0
Group Home (VO),2020-09-06,2024-01-15,1246,0
Low Rise,2020-07-22,2024-06-30,779,1
Hospital,2023-05-06,2024-02-07,1520,1
High Rise,2021-03-24,2024-03-11,1203,0
Group Home (VO),2024-09-15,2024-09-17,101,0
Detention,2021-09-26,2024-10-10,1547,1
Detention,2021-02-17,2024-04-21,743,1
Detention,2019-12-19,2024-06-23,1409,1
Hospital,2019-10-21,2024-04-07,575,1
Residential Care,2020-08-02,2024-05-01,1489,1
Detention,2019-09-10,2024-02-01,553,0
Low Rise,2023-07-07,2024-01-12,568,1
Group Home (VO),2023-02-05,2024-07-03,1234,0
Group Home (VO),2024-04-13,2024-11-02,1604,1
Hotel & Motel,2020-04-28,2024-08-04,1055,1
Low Rise,2024-10-16,2024-08-02,1606,0
Nursing Home,2022-03-29,2024-07-31,1460,1
Hotel & Motel,2021-10-14,2024-11-20,283,1
Hotel & Motel,2024-08-30,2024-06-24,1660,1
Nursing Home,2019-12-30,2024-07-06,1110,1
Group Home (VO),2023-07-28,2024-09-21,1199,1
Low Rise,2020-01-01,2024-10-22,887,0
Detention,2022-11-11,2024-01-04,1517,1
Residential Care,2021-10-23,2024-04-15,197,0
Detention,2022-06-15,2024-05-28,1240,0
Detention,2020-08-31,2024-04-23,1644,0
Group Home (VO),2024-06-13,2024-02-01,1148,1
Hotel & Motel,2024-06-21,2024-10-03,481,0
Nursing Home,2020-11-10,2024-08-18,1548,0
Rooming House,2023-06-12,2024-11-26,1586,1
Group Home,2022-05-09,2024-09-03,1514,1
Detention,2024-04-07,2024-02-02,500,0
Hotel & Motel,2023-02-27,2024-07-08,1545,1
Nursing Home,2020-12-17,2024-05-22,180,1
High Rise,2021-11-02,2024-11-20,235,0
Hotel & Motel,2024-05-01,2024-09-19,699,1
Residential Care,2023-10-06,2024-09-19,939,0
Detention,2023-01-01,2024-06-07,1257,1
Rooming House,2020-07-11,2024-09-28,1554,1
Hospital,2022-08-04,2024-11-24,878,0
Group Home,2023-08-22,2024-10-26,1421,0
Residential Care,2021-05-21,2024-10-23,1373,0
Group Home (VO),2021-04-02,2024-09-19,1632,1
Residential Care,2022-12-19,2024-08-18,1286,1
Residential Care,2024-02-02,2024-07-07,1346,1
Group Home (VO),2020-10-27,2024-03-29,487,1
Hospital,2023-07-24,2024-09-02,1625,1
Hospital,2024-07-04,2024-10-30,1373,0
Hospital,2021-05-24,2024-06-20,296,1
Nursing Home,2024-04-05,2024-04-06,1152,0
Group Home,2022-07-08,2024-08-09,19,1
Nursing Home,2023-12-27,2024-09-13,1671,0
Hotel & Motel,2023-11-10,2024-08-05,760,0
Hotel & Motel,2022-03-04,2024-10-24,865,0
Group Home (VO),2020-02-27,2024-07-19,934,0
Nursing Home,2023-03-22,2024-08-30,1270,0
High Rise,2023-10-26,2024-01-15,1565,0
Hotel & Motel,2021-08-30,2024-02-29,1118,0
Rooming House,2020-01-03,2024-09-06,259,1
Hotel & Motel,2022-04-02,2024-08-27,937,0
Group Home (VO),2021-05-15,2024-05-24,1470,0
High Rise,2020-01-25,2024-04-22,196,1
Hotel & Motel,2023-01-20,2024-07-08,44,0
Hotel & Motel,2022-07-02,2024-02-02,1477,1
Detention,2022-01-07,2024-04-16,1341,0
Detention,2023-01-15,2024-09-27,682,0
Residential Care,2021-03-07,2024-01-03,1624,1
High Rise,2019-09-23,2024-02-15,767,0
Residential Care,2022-03-09,2024-01-04,1451,1
Hotel & Motel,2023-01-22,2024-10-25,923,1
Hospital,2022-05-27,2024-08-01,1500,0
High Rise,2020-06-02,2024-02-06,54,1
Nursing Home,2021-06-25,2024-01-16,495,1
Group Home (VO),2020-12-28,2024-10-03,232,0
Rooming House,2023-09-08,2024-09-24,451,0
Residential Care,2021-02-09,2024-01-17,547,1
Group Home (VO),2020-04-10,2024-04-30,1236,1
Detention,2020-04-13,2024-08-01,206,0
High Rise,2020-12-07,2024-01-12,1573,0
Hospital,2023-11-20,2024-10-08,326,1
Group Home,2021-02-10,2024-06-02,29,1
Nursing Home,2021-08-28,2024-02-17,1339,1
Residential Care,2024-08-27,2024-08-28,658,0
Residential Care,2020-04-04,2024-03-06,1329,0
Nursing Home,2022-07-27,2024-05-31,1109,0
Hotel & Motel,2023-02-05,2024-10-19,464,0
Group Home,2024-05-22,2024-01-21,978,1
Nursing Home,2022-01-29,2024-07-30,1625,1
Group Home (VO),2024-09-14,2024-06-06,790,0
High Rise,2023-12-05,2024-11-01,30,1
High Rise,2022-10-13,2024-11-27,320,0
Group Home (VO),2020-08-21,2024-09-04,280,0
Detention,2023-01-09,2024-09-17,135,0
Group Home,2020-04-20,2024-04-29,631,0
Detention,2021-10-25,2024-09-29,1249,0
Low Rise,2024-06-13,2024-06-30,153,0
Rooming House,2021-04-09,2024-02-21,829,1
Detention,2021-07-12,2024-09-05,286,1
Rooming House,2022-05-05,2024-03-09,191,0
Group Home (VO),2024-04-19,2024-01-19,318,0
Nursing Home,2024-05-15,2024-09-16,548,0
High Rise,2020-09-26,2024-07-09,1138,1
Group Home (VO),2024-01-22,2024-09-19,1134,1
Detention,2023-08-07,2024-05-18,1658,0
Hospital,2021-02-05,2024-08-29,744,1
Low Rise,2023-05-22,2024-06-05,836,0
High Rise,2024-04-22,2024-01-19,507,1
Hotel & Motel,2021-09-29,2024-07-26,1203,0
High Rise,2021-10-09,2024-07-20,461,1
Nursing Home,2023-10-30,2024-09-02,1123,1
Detention,2021-07-28,2024-11-13,364,1
Low Rise,2020-01-30,2024-03-31,932,0
Rooming House,2020-12-30,2024-03-12,797,0
Detention,2021-04-12,2024-09-10,1069,1
Group Home (VO),2023-10-17,2024-08-05,58,0
Nursing Home,2021-12-22,2024-08-04,245,1
High Rise,2019-12-16,2024-09-13,252,0
Low Rise,2020-06-14,2024-03-25,1103,0
Group Home,2024-03-07,2024-11-14,432,0
Hotel & Motel,2019-08-17,2024-01-23,714,0
Group Home (VO),2021-08-21,2024-09-19,1559,0
Rooming House,2020-09-22,2024-10-16,1057,0
Group Home,2019-09-16,2024-08-02,1536,1
Nursing Home,2020-06-13,2024-03-18,697,0
High Rise,2022-04-07,2024-09-09,1416,1
Group Home (VO),2024-11-20,2024-03-04,1071,0
Hotel & Motel,2022-03-12,2024-11-18,1033,1
Hospital,2023-11-27,2024-07-09,749,1
Rooming House,2021-06-28,2024-03-25,1171,0
High Rise,2023-02-12,2024-10-10,1612,1
Rooming House,2022-06-12,2024-03-04,46,0
Hotel & Motel,2019-07-22,2024-08-16,1451,0
Low Rise,2022-04-11,2024-04-09,1060,0
Rooming House,2019-08-02,2024-02-10,315,0
Group Home (VO),2019-12-11,2024-06-05,1375,1
Detention,2019-07-10,2024-04-24,1258,0
Low Rise,2024-01-03,2024-08-07,867,1
Hospital,2023-01-14,2024-07-20,1569,1
Low Rise,2021-06-28,2024-05-29,735,1
Detention,2024-01-12,2024-04-18,351,1
Detention,2024-06-29,2024-02-04,534,1
Group Home,2022-08-02,2024-02-21,1379,1
Residential Care,2020-03-08,2024-04-02,1121,1
Group Home (VO),2021-07-08,2024-06-29,1512,1
Low Rise,2024-03-11,2024-04-16,890,0
Residential Care,2020-11-24,2024-05-11,1162,1
High Rise,2021-02-16,2024-01-27,952,1
Hotel & Motel,2019-10-02,2024-11-11,112,0
High Rise,2021-03-04,2024-10-29,1484,0
Hospital,2021-02-11,2024-09-30,1473,0
High Rise,2023-05-12,2024-02-14,1573,1
Hospital,2020-01-19,2024-11-15,601,1
Nursing Home,2024-06-21,2024-11-19,713,0
Rooming House,2022-09-13,2024-05-13,384,0
Low Rise,2022-06-24,2024-03-12,1208,0
Group Home (VO),2020-07-02,2024-07-24,198,1
Rooming House,2021-10-05,2024-06-22,729,0
Low Rise,2023-03-01,2024-11-07,1544,1
Group Home (VO),2024-06-14,2024-09-08,429,0
Detention,2022-07-18,2024-06-09,565,1
Hospital,2023-10-08,2024-07-24,893,1
Hospital,2020-03-21,2024-03-13,1423,1
Residential Care,2020-12-06,2024-01-21,1362,0
Hospital,2021-05-27,2024-03-27,84,1
Group Home,2021-12-17,2024-01-31,919,0
Low Rise,2021-03-20,2024-10-19,1589,0
Hotel & Motel,2021-12-17,2024-03-21,68,0
Residential Care,2019-10-01,2024-08-16,685,1
Group Home,2023-12-04,2024-06-25,910,1
High Rise,2024-09-17,2024-06-16,529,0
Nursing Home,2022-12-23,2024-03-30,1366,0
Detention,2023-10-10,2024-06-11,735,0
Residential Care,2023-08-09,2024-09-30,759,0
Hospital,2023-06-21,2024-02-22,1505,0
Detention,2020-08-01,2024-07-14,875,0
Detention,2023-12-23,2024-09-23,669,0
Group Home,2022-05-26,2024-11-05,1426,0
Hospital,2023-11-19,2024-01-13,1364,0
Low Rise,2024-02-28,2024-10-10,442,1
Hotel & Motel,2024-06-08,2024-03-10,1542,0
Hospital,2022-11-27,2024-03-18,1014,0
Hotel & Motel,2022-09-12,2024-02-04,1632,0
Group Home,2022-01-27,2024-08-10,499,0
Hotel & Motel,2019-11-08,2024-03-22,782,1
Rooming House,2023-12-15,2024-01-20,114,1
Group Home,2024-02-12,2024-02-15,410,1
Residential Care,2023-07-07,2024-08-26,1420,1
Group Home (VO),2020-05-10,2024-04-27,1034,0
Residential Care,2022-08-01,2024-05-26,20,0
Residential Care,2024-06-02,2024-06-16,253,0
Detention,2020-04-11,2024-07-23,1144,0
High Rise,2024-10-10,2024-09-02,1191,1
Residential Care,2024-04-19,2024-09-06,1308,1
Residential Care,2021-11-04,2024-03-07,871,0
Detention,2023-03-05,2024-05-02,533,1
Group Home,2023-08-20,2024-11-26,689,1
Hotel & Motel,2023-12-17,2024-08-20,380,0
Residential Care,2020-01-21,2024-07-05,1335,1
Rooming House,2023-04-12,2024-03-14,1538,1
Nursing Home,2020-07-06,2024-10-15,714,0
Detention,2020-01-15,2024-06-26,875,1
Hospital,2023-08-29,2024-09-10,666,0
High Rise,2020-11-17,2024-09-01,545,0
Residential Care,2023-09-18,2024-03-27,1526,1
Residential Care,2021-05-02,2024-05-23,1400,1
Hotel & Motel,2020-05-23,2024-10-18,1485,1
Nursing Home,2024-04-11,2024-03-28,842,0
High Rise,2023-12-05,2024-01-14,1412,0
Rooming House,2022-02-21,2024-07-09,487,0
Nursing Home,2020-11-19,2024-04-25,331,1
Low Rise,2021-02-14,2024-11-23,1572,0
Nursing Home,2023-04-24,2024-01-31,268,1
Hospital,2020-09-24,2024-04-13,1472,0
Residential Care,2021-05-02,2024-02-19,751,1
Low Rise,2023-02-16,2024-11-27,467,1
Hotel & Motel,2022-04-15,2024-04-18,235,1
Hotel & Motel,2021-02-08,2024-03-20,1009,0
Residential Care,2022-07-07,2024-08-19,829,1
Detention,2021-12-08,2024-04-28,812,0
Detention,2020-06-09,2024-03-30,462,0
Group Home (VO),2019-11-11,2024-01-31,1604,0
Low Rise,2020-06-21,2024-02-20,1539,0
Group Home,2022-06-04,2024-01-07,1237,1
Rooming House,2020-10-28,2024-05-24,1200,1
High Rise,2023-02-01,2024-09-05,1319,1
Rooming House,2023-06-25,2024-05-14,1158,0
Group Home (VO),2022-09-22,2024-09-26,1289,0
Rooming House,2020-09-04,2024-08-22,289,0
Nursing Home,2019-09-07,2024-02-10,1588,1
Group Home (VO),2023-11-26,2024-08-30,394,0
Hospital,2022-04-19,2024-01-29,40,0
Residential Care,2020-01-08,2024-03-09,390,1
Detention,2023-09-14,2024-04-30,335,1
High Rise,2019-11-05,2024-05-07,91,0
Residential Care,2021-01-25,2024-03-04,316,1
Low Rise,2023-01-08,2024-01-27,700,0
High Rise,2021-09-18,2024-02-03,1461,1
Nursing Home,2024-07-18,2024-02-14,1204,0
Residential Care,2024-01-31,2024-01-27,975,1
Low Rise,2023-03-02,2024-02-09,398,1
Detention,2024-06-21,2024-01-25,60,1
Hospital,2020-11-27,2024-07-13,40,0
